timestamp,customer_generation,driver_generation,check_driver_list,check_customer_list,customer_requests,processed_rides,managed_pending_requests,updated_drivers,updated_rides_state,updated_drivers_movements,completed_iteration
0.0,0.0003,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0013
1.0,0.0,0.0008,0.0001,0.0003,0.0,0.0,0.0,0.0006,0.0,0.0,0.0143
2.0,0.0,0.0007,0.0001,0.0003,0.0001,0.027,0.0005,0.001,0.0,0.0,0.0301
3.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0003,0.0009,0.0,0.0,0.0019
4.0,0.0001,0.0,0.0001,0.0002,0.0,0.0,0.0003,0.0011,0.0,0.0,0.0024
5.0,0.0001,0.0011,0.0003,0.0005,0.0002,0.0207,0.0015,0.002,0.0,0.0,0.0265
6.0,0.0001,0.0007,0.0001,0.0003,0.0001,0.0051,0.001,0.0018,0.0,0.0,0.0096
7.0,0.0001,0.0014,0.0001,0.0003,0.0,0.0,0.001,0.0028,0.0,0.0,0.0067
8.0,0.0001,0.0,0.0001,0.0003,0.0,0.0,0.0009,0.0028,0.0,0.0,0.0052
9.0,0.0,0.0,0.0001,0.0003,0.0001,0.0103,0.0037,0.0024,0.0002,0.0,0.0176
10.0,0.0,0.0013,0.0001,0.0003,0.0,0.0,0.0102,0.0034,0.0005,0.0,0.0162
11.0,0.0003,0.0,0.0001,0.0003,0.0,0.0,0.0008,0.0032,0.0005,0.0,0.0065
12.0,0.0,0.0009,0.0002,0.0004,0.0,0.0,0.0079,0.0043,0.0007,0.0,0.016
13.0,0.0,0.0,0.0001,0.0003,0.0001,0.0312,0.0015,0.0061,0.0013,0.0,0.041
14.0,0.0004,0.0,0.0002,0.0004,0.0001,0.0161,0.0014,0.0045,0.0007,0.0,0.0243
15.0,0.0002,0.0022,0.0002,0.0003,0.0001,0.0326,0.0021,0.0073,0.0009,0.0,0.0465
16.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0019,0.0062,0.0012,0.0,0.0104
17.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0018,0.0076,0.0012,0.0,0.0116
18.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0025,0.0068,0.0012,0.0,0.0116
19.0,0.0,0.0008,0.0002,0.0004,0.0,0.0,0.0083,0.0065,0.0009,0.0,0.0197
20.0,0.0001,0.0,0.0001,0.0003,0.0001,0.0241,0.0053,0.0049,0.0012,0.0,0.0365
21.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0043,0.0039,0.001,0.0,0.0099
22.0,0.0002,0.0,0.0001,0.0002,0.0,0.0,0.0008,0.0038,0.001,0.0,0.0076
23.0,0.0,0.0,0.0001,0.0002,0.0001,0.0265,0.0015,0.0042,0.001,0.0,0.0339
24.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0013,0.0037,0.0009,0.0,0.0065
25.0,0.0001,0.0,0.0001,0.0002,0.0,0.0,0.0014,0.0036,0.0076,0.0,0.0145
26.0,0.0001,0.0,0.0001,0.0002,0.0001,0.0151,0.0082,0.0042,0.0013,0.0,0.0296
27.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0014,0.0042,0.0012,0.0,0.0075
28.0,0.0,0.0006,0.0001,0.0003,0.0,0.0,0.0016,0.0044,0.0012,0.0,0.01
29.0,0.0001,0.0,0.0001,0.0003,0.0,0.0044,0.0048,0.0045,0.0015,0.0,0.0162
30.0,0.0003,0.0006,0.0001,0.0003,0.0,0.0,0.0017,0.0044,0.0016,0.0,0.0112
31.0,0.0001,0.0,0.0001,0.0002,0.0001,0.0081,0.0053,0.004,0.0017,0.0,0.02
32.0,0.0001,0.0013,0.0001,0.0002,0.0001,0.0073,0.0124,0.0102,0.0029,0.0,0.035
33.0,0.0003,0.0,0.0001,0.0003,0.0001,0.0104,0.0142,0.0088,0.0034,0.0,0.0382
34.0,0.0,0.0011,0.0002,0.0004,0.0,0.0,0.0023,0.0085,0.0031,0.0,0.0161
35.0,0.0,0.0,0.0003,0.0005,0.0,0.0,0.0075,0.0089,0.0043,0.0,0.0219
36.0,0.0002,0.0007,0.0003,0.0006,0.0001,0.01,0.0025,0.0113,0.0033,0.0,0.0296
37.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0091,0.0056,0.0025,0.0,0.0178
38.0,0.0,0.0006,0.0001,0.0002,0.0,0.0,0.0016,0.0071,0.0021,0.0,0.0122
39.0,0.0001,0.0,0.0001,0.0003,0.0001,0.0114,0.0022,0.0065,0.0029,0.0,0.0242
40.0,0.0002,0.0,0.0001,0.0003,0.0001,0.0061,0.0025,0.0069,0.0028,0.0,0.0193
41.0,0.0002,0.0,0.0002,0.0003,0.0001,0.0004,0.0138,0.0057,0.0034,0.0,0.0246
42.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0101,0.0056,0.0037,0.0,0.0226
43.0,0.0005,0.0,0.0003,0.0004,0.0001,0.0009,0.0095,0.0059,0.0035,0.0,0.0216
44.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0011,0.0057,0.0029,0.0,0.0107
45.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0008,0.0051,0.0038,0.0,0.0106
46.0,0.0,0.0,0.0003,0.0006,0.0,0.0,0.0065,0.0045,0.003,0.0,0.0155
47.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0006,0.0043,0.0029,0.0,0.0086
48.0,0.0001,0.0,0.0001,0.0002,0.0,0.0003,0.001,0.0052,0.0025,0.0,0.0098
49.0,0.0002,0.0,0.0002,0.0003,0.0,0.0003,0.001,0.0041,0.0025,0.0,0.0087
50.0,0.0001,0.0,0.0001,0.0002,0.0,0.0004,0.0012,0.0057,0.0029,0.0,0.0112
51.0,0.0,0.001,0.0003,0.0005,0.0,0.0,0.0007,0.0051,0.003,0.0,0.0109
52.0,0.0,0.0006,0.0001,0.0003,0.0,0.0,0.0007,0.0051,0.003,0.0,0.01
53.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.0006,0.0056,0.0039,0.0,0.0112
54.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.005,0.005,0.0025,0.0,0.0169
55.0,0.0001,0.0,0.0001,0.0004,0.0,0.0151,0.0009,0.0059,0.0028,0.0,0.0256
56.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0008,0.0062,0.0027,0.0,0.0105
57.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0084,0.0111,0.0048,0.0,0.0276
58.0,0.0001,0.0,0.0001,0.0003,0.0,0.0196,0.0015,0.0144,0.0058,0.0,0.0423
59.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0013,0.0112,0.0057,0.0,0.0193
60.0,0.0002,0.0,0.0002,0.0004,0.0001,0.0115,0.0015,0.0088,0.005,0.0,0.0283
61.0,0.0,0.0,0.0002,0.0003,0.0,0.0,0.0013,0.0079,0.0041,0.0,0.0144
62.0,0.0001,0.0,0.0001,0.0003,0.0,0.0057,0.0019,0.01,0.0037,0.0,0.0223
