timestamp,customer_generation,driver_generation,check_driver_list,check_customer_list,customer_requests,processed_rides,managed_pending_requests,updated_drivers,updated_rides_state,updated_drivers_movements,completed_iteration
0.0,0.0003,0.0,0.0001,0.0003,0.0001,0.0005,0.0009,0.0,0.0,0.0,0.0029
1.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0005
2.0,0.0,0.0013,0.0001,0.0002,0.0,0.0,0.0,0.0009,0.0,0.0,0.0138
3.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0009,0.0,0.0,0.0014
4.0,0.0001,0.0,0.0001,0.0002,0.0,0.0114,0.0003,0.0008,0.0,0.0,0.0132
5.0,0.0001,0.0,0.0001,0.0002,0.0,0.0029,0.0004,0.0008,0.0,0.0,0.0047
6.0,0.0001,0.0005,0.0001,0.0002,0.0,0.0037,0.0006,0.0013,0.0,0.0,0.0068
7.0,0.0001,0.0015,0.0001,0.0002,0.0,0.0111,0.001,0.0021,0.0,0.0,0.0164
8.0,0.0001,0.0,0.0001,0.0002,0.0,0.0081,0.0011,0.0024,0.0,0.0,0.0124
9.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.001,0.0025,0.0,0.0,0.0046
10.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.001,0.0025,0.0,0.0,0.004
11.0,0.0002,0.0,0.0001,0.0002,0.0001,0.0145,0.0094,0.0026,0.0002,0.0,0.0275
12.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.0013,0.0029,0.0002,0.0,0.0055
13.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0012,0.0026,0.0002,0.0,0.0045
14.0,0.0001,0.0,0.0001,0.0002,0.0,0.0032,0.0016,0.0027,0.0002,0.0,0.0084
15.0,0.0001,0.0018,0.0001,0.0002,0.0,0.0,0.0019,0.0038,0.0002,0.0,0.0095
16.0,0.0,0.0,0.0001,0.0002,0.0,0.012,0.0024,0.0065,0.0002,0.0,0.0218
17.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0134,0.0042,0.0004,0.0,0.0186
18.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0018,0.0037,0.0004,0.0,0.0065
19.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.0169,0.0043,0.0007,0.0,0.023
20.0,0.0001,0.0,0.0001,0.0002,0.0,0.0193,0.0011,0.004,0.0007,0.0,0.026
21.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0011,0.0042,0.0007,0.0,0.0066
22.0,0.0002,0.0,0.0001,0.0002,0.0,0.0,0.006,0.0037,0.0008,0.0,0.0127
23.0,0.0,0.0,0.0001,0.0002,0.0001,0.0273,0.0069,0.0042,0.001,0.0,0.04
24.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0012,0.0037,0.001,0.0,0.0065
25.0,0.0001,0.0,0.0001,0.0002,0.0,0.0119,0.0015,0.0037,0.001,0.0,0.019
26.0,0.0001,0.0,0.0001,0.0002,0.0,0.0036,0.0016,0.0037,0.001,0.0,0.0108
27.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0014,0.0035,0.001,0.0,0.0065
28.0,0.0,0.0006,0.0001,0.0002,0.0,0.0,0.0015,0.0121,0.001,0.0,0.0158
29.0,0.0001,0.0,0.0001,0.0002,0.0,0.0048,0.0069,0.004,0.0013,0.0,0.0178
30.0,0.0002,0.0005,0.0001,0.0002,0.0001,0.0088,0.0024,0.0045,0.0015,0.0,0.0186
31.0,0.0001,0.0,0.0001,0.0002,0.0,0.0003,0.0041,0.0039,0.0015,0.0,0.0107
32.0,0.0001,0.0011,0.0001,0.0002,0.0,0.0062,0.002,0.005,0.0015,0.0,0.0167
33.0,0.0002,0.0,0.0001,0.0002,0.0001,0.0042,0.0083,0.0046,0.0016,0.0,0.0198
34.0,0.0,0.0007,0.0001,0.0002,0.0,0.0,0.0121,0.005,0.002,0.0,0.0204
35.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0013,0.0049,0.0019,0.0,0.0087
36.0,0.0001,0.0006,0.0001,0.0002,0.0,0.011,0.0089,0.0054,0.0021,0.0,0.0288
37.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0073,0.005,0.0023,0.0,0.0154
38.0,0.0,0.0006,0.0001,0.0002,0.0,0.0,0.0009,0.0051,0.0023,0.0,0.0096
39.0,0.0001,0.0,0.0001,0.0002,0.0,0.0104,0.0014,0.005,0.0021,0.0,0.0197
40.0,0.0002,0.0,0.0001,0.0003,0.0,0.0072,0.0017,0.0052,0.0021,0.0,0.0171
41.0,0.0002,0.0,0.0001,0.0003,0.0,0.0048,0.002,0.0052,0.002,0.0,0.015
42.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0018,0.0051,0.0021,0.0,0.0119
43.0,0.0003,0.0,0.0001,0.0003,0.0001,0.0007,0.0026,0.0053,0.002,0.0,0.0118
44.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0127,0.0052,0.0023,0.0,0.0227
45.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0014,0.0052,0.0025,0.0,0.0119
46.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0067,0.0052,0.0024,0.0,0.0151
47.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0041,0.0046,0.0026,0.0,0.0121
48.0,0.0001,0.0,0.0002,0.0003,0.0,0.0046,0.0015,0.0048,0.0029,0.0,0.0148
49.0,0.0001,0.0,0.0001,0.0002,0.0,0.0003,0.001,0.0049,0.0026,0.0,0.0097
50.0,0.0001,0.0,0.0001,0.0002,0.0,0.0048,0.0016,0.0054,0.0027,0.0,0.0152
51.0,0.0,0.0006,0.0001,0.0003,0.0,0.0,0.0009,0.0048,0.0026,0.0,0.0097
52.0,0.0,0.0006,0.0001,0.0003,0.0,0.0,0.001,0.0057,0.0026,0.0,0.0106
53.0,0.0,0.0006,0.0001,0.0003,0.0,0.0,0.001,0.0057,0.0025,0.0,0.0106
54.0,0.0,0.0006,0.0001,0.0003,0.0,0.0,0.0011,0.0057,0.0022,0.0,0.0104
55.0,0.0001,0.0,0.0001,0.0002,0.0,0.0141,0.0017,0.0065,0.0025,0.0,0.0255
56.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0072,0.0066,0.0028,0.0,0.0174
57.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0011,0.0057,0.0033,0.0,0.0108
58.0,0.0001,0.0,0.0001,0.0003,0.0,0.0102,0.0014,0.0064,0.0028,0.0,0.0218
59.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0015,0.0056,0.0031,0.0,0.0111
60.0,0.0002,0.0,0.0001,0.0003,0.0,0.0102,0.0021,0.0062,0.0026,0.0,0.0222
61.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0014,0.0057,0.0033,0.0,0.0112
62.0,0.0001,0.0,0.0001,0.0003,0.0,0.0074,0.0018,0.0064,0.0029,0.0,0.0195
63.0,0.0003,0.0,0.0002,0.0003,0.0,0.0,0.0016,0.0057,0.0031,0.0,0.0143
64.0,0.0002,0.0,0.0001,0.0003,0.0,0.0,0.0099,0.0062,0.0029,0.0,0.0228
65.0,0.0,0.0006,0.0001,0.0003,0.0001,0.0258,0.0034,0.0062,0.0029,0.0,0.0399
66.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0044,0.0062,0.0029,0.0,0.0143
67.0,0.0003,0.0,0.0001,0.0003,0.0,0.0,0.0018,0.0064,0.003,0.0,0.0151
68.0,0.0,0.0,0.0001,0.0003,0.0001,0.0007,0.0026,0.007,0.0029,0.0,0.014
69.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0064,0.0062,0.0096,0.0,0.023
