timestamp,customer_generation,driver_generation,check_driver_list,check_customer_list,customer_requests,processed_rides,managed_pending_requests,updated_drivers,updated_rides_state,updated_drivers_movements,completed_iteration
0.0,0.0003,0.0,0.0001,0.0003,0.0001,0.0005,0.0009,0.0,0.0,0.0,0.0027
1.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0005
2.0,0.0,0.0008,0.0001,0.0003,0.0,0.0,0.0,0.0006,0.0,0.0,0.013
3.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0006,0.0,0.0,0.0011
4.0,0.0001,0.0,0.0001,0.0002,0.0,0.0067,0.0002,0.0005,0.0,0.0,0.008
5.0,0.0001,0.0,0.0001,0.0002,0.0,0.0002,0.0005,0.0004,0.0,0.0,0.0018
6.0,0.0001,0.0005,0.0001,0.0002,0.0,0.0038,0.0004,0.0008,0.0,0.0,0.0061
7.0,0.0001,0.0021,0.0001,0.0002,0.0,0.0,0.0004,0.0022,0.0,0.0,0.0059
8.0,0.0001,0.0,0.0001,0.0002,0.0001,0.015,0.0008,0.0023,0.0,0.0,0.0186
9.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0006,0.0022,0.0,0.0,0.0039
10.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0006,0.0021,0.0,0.0,0.0036
11.0,0.0001,0.0005,0.0001,0.0002,0.0001,0.0233,0.0047,0.0023,0.0002,0.0,0.0318
12.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.0009,0.0026,0.0002,0.0,0.0047
13.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0045,0.0025,0.0003,0.0,0.0078
14.0,0.0001,0.0,0.0001,0.0002,0.0,0.0079,0.0009,0.0026,0.0003,0.0,0.0124
15.0,0.0001,0.0015,0.0001,0.0002,0.0,0.013,0.0014,0.0035,0.0003,0.0,0.0206
16.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0012,0.0033,0.0003,0.0,0.0064
17.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0012,0.0035,0.0004,0.0,0.0056
18.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0013,0.003,0.0003,0.0,0.0052
19.0,0.0,0.0004,0.0001,0.0002,0.0,0.0,0.0011,0.0034,0.0004,0.0,0.0068
20.0,0.0001,0.0,0.0001,0.0003,0.0,0.0141,0.0014,0.0039,0.0004,0.0,0.0204
21.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0013,0.0032,0.0003,0.0,0.0052
22.0,0.0002,0.0,0.0001,0.0003,0.0,0.0,0.0093,0.0034,0.0005,0.0,0.0153
23.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0041,0.0029,0.0006,0.0,0.0091
24.0,0.0,0.0,0.0001,0.0003,0.0001,0.0162,0.0012,0.0034,0.0007,0.0,0.0227
25.0,0.0001,0.0,0.0001,0.0002,0.0,0.0101,0.0014,0.0036,0.0007,0.0,0.0166
26.0,0.0001,0.0,0.0001,0.0002,0.0,0.0054,0.0013,0.0028,0.001,0.0,0.0112
27.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0015,0.0031,0.0006,0.0,0.0072
28.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.0013,0.0032,0.0007,0.0,0.0063
29.0,0.0001,0.0,0.0001,0.0002,0.0,0.0066,0.0036,0.0032,0.0008,0.0,0.0148
30.0,0.0002,0.0004,0.0001,0.0002,0.0001,0.0111,0.0024,0.0041,0.0007,0.0,0.0194
31.0,0.0001,0.0,0.0001,0.0002,0.0,0.0002,0.0049,0.0037,0.0009,0.0,0.0104
32.0,0.0001,0.0009,0.0001,0.0003,0.0,0.0,0.0037,0.0043,0.001,0.0,0.0121
33.0,0.0002,0.0,0.0001,0.0002,0.0,0.0,0.0056,0.0035,0.0012,0.0,0.0123
34.0,0.0,0.0006,0.0002,0.0004,0.0001,0.0289,0.0021,0.0048,0.0013,0.0,0.0385
35.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0049,0.0038,0.0012,0.0,0.0104
36.0,0.0001,0.0006,0.0001,0.0002,0.0,0.0,0.0018,0.0039,0.0012,0.0,0.01
37.0,0.0,0.0,0.0003,0.0007,0.0,0.0,0.002,0.005,0.0017,0.0,0.0123
38.0,0.0,0.0006,0.0001,0.0003,0.0,0.0148,0.0033,0.005,0.0016,0.0,0.0262
39.0,0.0001,0.0,0.0001,0.0002,0.0,0.0127,0.003,0.0075,0.0019,0.0,0.0261
40.0,0.0002,0.0,0.0001,0.0003,0.0001,0.0093,0.0054,0.0062,0.0022,0.0,0.0241
41.0,0.0002,0.0,0.0002,0.0003,0.0001,0.0048,0.0146,0.0058,0.0019,0.0,0.0283
42.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0052,0.005,0.002,0.0,0.0128
43.0,0.0002,0.0,0.0001,0.0002,0.0001,0.0007,0.0029,0.0048,0.002,0.0,0.0115
44.0,0.0,0.0,0.0001,0.0007,0.0,0.0,0.0018,0.0045,0.0019,0.0,0.0094
45.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0018,0.0047,0.002,0.0,0.0092
46.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0153,0.0046,0.0022,0.0,0.0228
47.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0015,0.0043,0.0022,0.0,0.0108
48.0,0.0001,0.0,0.0001,0.0002,0.0,0.0075,0.0015,0.0044,0.0022,0.0,0.0165
49.0,0.0001,0.0,0.0001,0.0002,0.0,0.0037,0.0012,0.0043,0.0027,0.0,0.0126
50.0,0.0001,0.0,0.0001,0.0002,0.0,0.0036,0.0016,0.0039,0.0018,0.0,0.0117
51.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.001,0.0041,0.0026,0.0,0.009
52.0,0.0,0.0004,0.0001,0.0002,0.0,0.0,0.0013,0.0048,0.0021,0.0,0.0092
53.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.0048,0.0054,0.002,0.0,0.0132
54.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.0011,0.0052,0.0031,0.0,0.0132
55.0,0.0001,0.0,0.0001,0.0002,0.0,0.0169,0.0011,0.0059,0.002,0.0,0.0266
56.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.001,0.0052,0.0022,0.0,0.009
57.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0009,0.0046,0.0085,0.0,0.0145
58.0,0.0001,0.0,0.0001,0.0002,0.0,0.0102,0.0013,0.0053,0.0028,0.0,0.0205
59.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0013,0.0048,0.0025,0.0,0.0094
60.0,0.0001,0.0,0.0001,0.0003,0.0,0.0,0.0012,0.0058,0.0037,0.0,0.0138
