timestamp,customer_generation,driver_generation,check_driver_list,check_customer_list,customer_requests,processed_rides,managed_pending_requests,updated_drivers,updated_rides_state,updated_drivers_movements,completed_iteration
0.0,0.0002,0.0,0.0001,0.0002,0.0001,0.0004,0.0007,0.0,0.0,0.0,0.0022
1.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0004
2.0,0.0,0.0018,0.0001,0.0003,0.0,0.0,0.0,0.0014,0.0,0.0,0.0143
3.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0013,0.0,0.0,0.0019
4.0,0.0001,0.0,0.0001,0.0002,0.0,0.0168,0.0003,0.0014,0.0,0.0,0.0192
5.0,0.0001,0.0,0.0001,0.0002,0.0,0.0056,0.0004,0.0014,0.0,0.0,0.0082
6.0,0.0001,0.0007,0.0001,0.0002,0.0,0.0,0.0004,0.0017,0.0,0.0,0.0039
7.0,0.0001,0.0012,0.0001,0.0002,0.0001,0.0253,0.0011,0.0026,0.0,0.0,0.031
8.0,0.0001,0.0,0.0001,0.0002,0.0,0.0074,0.0012,0.0026,0.0,0.0,0.012
9.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0011,0.0028,0.0,0.0,0.0045
10.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0011,0.0025,0.0,0.0,0.0043
11.0,0.0002,0.0,0.0001,0.0002,0.0,0.0,0.0063,0.0024,0.0002,0.0,0.0105
12.0,0.0,0.0006,0.0001,0.0002,0.0001,0.0134,0.0014,0.0029,0.0002,0.0,0.0194
13.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0013,0.0029,0.0003,0.0,0.0051
14.0,0.0001,0.0,0.0001,0.0003,0.0,0.0003,0.0017,0.0027,0.0002,0.0,0.0058
15.0,0.0001,0.0016,0.0001,0.0002,0.0,0.0101,0.002,0.0044,0.0002,0.0,0.0191
16.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0018,0.004,0.0002,0.0,0.0079
17.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0018,0.0039,0.0002,0.0,0.0066
18.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0017,0.0043,0.0002,0.0,0.0068
19.0,0.0,0.0006,0.0001,0.0002,0.0,0.0,0.0042,0.0041,0.0004,0.0,0.0099
20.0,0.0001,0.0,0.0001,0.0002,0.0,0.0142,0.0025,0.0044,0.0004,0.0,0.0223
21.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0073,0.0096,0.0006,0.0,0.0182
22.0,0.0002,0.0,0.0001,0.0002,0.0001,0.0249,0.0054,0.0041,0.0008,0.0,0.0362
23.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0061,0.0038,0.001,0.0,0.0115
24.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0011,0.0053,0.001,0.0,0.0081
25.0,0.0001,0.0,0.0001,0.0002,0.0,0.0075,0.0088,0.0039,0.0011,0.0,0.0221
26.0,0.0001,0.0,0.0001,0.0002,0.0,0.0,0.001,0.0036,0.0012,0.0,0.0079
27.0,0.0,0.0,0.0001,0.0002,0.0,0.0045,0.0013,0.0039,0.0011,0.0,0.0114
28.0,0.0,0.0006,0.0001,0.0003,0.0,0.0,0.0014,0.0039,0.0011,0.0,0.0077
29.0,0.0001,0.0,0.0001,0.0003,0.0,0.0049,0.0078,0.0038,0.0015,0.0,0.0189
30.0,0.0002,0.0007,0.0001,0.0003,0.0001,0.0056,0.0015,0.0041,0.0015,0.0,0.0144
31.0,0.0001,0.0,0.0001,0.0003,0.0,0.0003,0.0019,0.0041,0.0015,0.0,0.0088
32.0,0.0001,0.0012,0.0001,0.0002,0.0,0.0064,0.0019,0.0051,0.0015,0.0,0.0171
33.0,0.0002,0.0,0.0001,0.0003,0.0001,0.0084,0.0026,0.0049,0.0016,0.0,0.0186
34.0,0.0,0.0006,0.0001,0.0003,0.0,0.0,0.0023,0.0054,0.0014,0.0,0.0105
35.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0022,0.0087,0.0017,0.0,0.0133
36.0,0.0001,0.0006,0.0001,0.0003,0.0,0.0081,0.0027,0.006,0.0016,0.0,0.02
37.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0026,0.0057,0.0014,0.0,0.0105
38.0,0.0,0.0006,0.0001,0.0003,0.0,0.0,0.0028,0.0064,0.0015,0.0,0.0144
39.0,0.0001,0.0,0.0001,0.0003,0.0,0.0079,0.0061,0.0064,0.0016,0.0,0.023
40.0,0.0001,0.0,0.0001,0.0003,0.0,0.0065,0.0035,0.0062,0.0017,0.0,0.0187
41.0,0.0001,0.0,0.0001,0.0003,0.0,0.0044,0.0117,0.0058,0.0019,0.0,0.0247
42.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0023,0.0056,0.0023,0.0,0.0109
43.0,0.0003,0.0,0.0001,0.0003,0.0001,0.0007,0.0139,0.0059,0.0022,0.0,0.024
44.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0114,0.0055,0.0025,0.0,0.0226
45.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0013,0.0052,0.0025,0.0,0.0121
46.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0013,0.0053,0.0027,0.0,0.0101
47.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0014,0.0054,0.0027,0.0,0.0126
