timestamp,customer_generation,driver_generation,check_driver_list,check_customer_list,customer_requests,processed_rides,managed_pending_requests,updated_drivers,updated_rides_state,updated_drivers_movements,completed_iteration
0.0,0.0003,0.0,0.0001,0.0002,0.0001,0.0006,0.0009,0.0,0.0,0.0,0.0026
1.0,0.0,0.0,0.0001,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0006
2.0,0.0,0.0008,0.0001,0.0003,0.0,0.0,0.0,0.0007,0.0,0.0,0.0132
3.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0005,0.0,0.0,0.001
4.0,0.0001,0.0006,0.0001,0.0002,0.0,0.0,0.0,0.0009,0.0,0.0,0.0024
5.0,0.0001,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0008,0.0,0.0,0.0015
6.0,0.0001,0.0006,0.0001,0.0002,0.0001,0.0332,0.0007,0.0014,0.0,0.0,0.0367
7.0,0.0001,0.0017,0.0001,0.0002,0.0,0.0099,0.001,0.0024,0.0,0.0,0.0157
8.0,0.0001,0.0005,0.0001,0.0002,0.0,0.0097,0.001,0.0027,0.0,0.0,0.0146
9.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.001,0.0025,0.0,0.0,0.004
10.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.001,0.0026,0.0,0.0,0.0047
11.0,0.0002,0.0,0.0001,0.0002,0.0001,0.0163,0.0015,0.0046,0.0,0.0,0.0232
12.0,0.0,0.0007,0.0001,0.0002,0.0,0.0,0.0015,0.0032,0.0,0.0,0.007
13.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0014,0.003,0.0,0.0,0.0049
14.0,0.0001,0.0,0.0001,0.0002,0.0,0.0062,0.0017,0.0032,0.0,0.0,0.0117
15.0,0.0001,0.0016,0.0001,0.0002,0.0,0.0,0.0021,0.004,0.0,0.0,0.0096
16.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0073,0.004,0.0002,0.0,0.0133
17.0,0.0,0.0,0.0001,0.0002,0.0,0.0129,0.0129,0.0037,0.0007,0.0,0.0307
18.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0066,0.0036,0.0008,0.0,0.0116
19.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.0009,0.0038,0.0008,0.0,0.0066
20.0,0.0001,0.0,0.0001,0.0002,0.0,0.0151,0.0012,0.004,0.001,0.0,0.0221
21.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0011,0.0038,0.0008,0.0,0.0063
22.0,0.0002,0.0,0.0001,0.0002,0.0001,0.0247,0.0018,0.0038,0.0008,0.0,0.032
23.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0079,0.0035,0.0011,0.0,0.0131
24.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0051,0.003,0.0013,0.0,0.0111
25.0,0.0001,0.0,0.0001,0.0002,0.0,0.0062,0.001,0.0034,0.0014,0.0,0.0127
26.0,0.0001,0.0,0.0001,0.0002,0.0,0.0038,0.0013,0.0036,0.0013,0.0,0.0107
27.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0062,0.0033,0.0015,0.0,0.0127
28.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.001,0.0037,0.0013,0.0,0.0072
