timestamp,customer_generation,driver_generation,check_driver_list,check_customer_list,customer_requests,processed_rides,managed_pending_requests,updated_drivers,updated_rides_state,updated_drivers_movements,completed_iteration
0.0,0.0003,0.0,0.0001,0.0003,0.0001,0.0005,0.0008,0.0,0.0,0.0,0.0027
1.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0005
2.0,0.0,0.0007,0.0001,0.0003,0.0,0.0,0.0,0.0006,0.0,0.0,0.0124
3.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0004,0.0,0.0,0.001
4.0,0.0001,0.0,0.0001,0.0002,0.0,0.0069,0.0002,0.0005,0.0,0.0,0.0083
5.0,0.0001,0.0,0.0001,0.0002,0.0,0.0002,0.0004,0.0004,0.0,0.0,0.0017
6.0,0.0001,0.001,0.0001,0.0002,0.0,0.0069,0.0004,0.0011,0.0,0.0,0.0101
7.0,0.0001,0.001,0.0001,0.0002,0.0,0.0089,0.0007,0.0019,0.0,0.0,0.0132
8.0,0.0001,0.0005,0.0001,0.0002,0.0,0.01,0.001,0.0022,0.0,0.0,0.0143
9.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.0008,0.0025,0.0,0.0,0.0043
10.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0008,0.0024,0.0,0.0,0.0043
11.0,0.0002,0.0,0.0001,0.0002,0.0001,0.0162,0.0087,0.0023,0.0002,0.0,0.0282
12.0,0.0,0.0006,0.0001,0.0002,0.0,0.0,0.001,0.0026,0.0002,0.0,0.0056
13.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.001,0.0026,0.0002,0.0,0.0042
14.0,0.0001,0.0,0.0001,0.0002,0.0,0.0063,0.0013,0.0028,0.0002,0.0,0.0113
15.0,0.0001,0.0015,0.0001,0.0002,0.0,0.0105,0.0018,0.0038,0.0002,0.0,0.0185
16.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0017,0.0038,0.0002,0.0,0.0063
17.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0117,0.0038,0.0003,0.0,0.0164
18.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0014,0.0036,0.0003,0.0,0.0059
19.0,0.0,0.0005,0.0001,0.0002,0.0,0.0,0.0128,0.0038,0.0006,0.0,0.0183
20.0,0.0001,0.0,0.0001,0.0002,0.0,0.0,0.0011,0.0036,0.0007,0.0,0.0072
21.0,0.0,0.0,0.0001,0.0002,0.0,0.0153,0.0014,0.0037,0.0007,0.0,0.0217
22.0,0.0002,0.0,0.0001,0.0002,0.0001,0.0185,0.0018,0.0036,0.001,0.0,0.0258
23.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0017,0.0035,0.0005,0.0,0.0063
24.0,0.0,0.0,0.0001,0.0002,0.0,0.0,0.0014,0.003,0.0006,0.0,0.0055
