taz,sum,max,min,mean,std,25p,50p,75p
1,102.65,2.0,0.0,0.61,0.43,0.25,0.5,1.0
2,272.35,6.25,0.0,1.62,1.01,0.8,1.5,2.21
3,150.6,3.5,0.0,0.9,0.69,0.4,0.8,1.25
4,693.5,12.5,0.6,4.13,2.3,2.4,3.68,5.25
5,87.75,2.0,0.0,0.52,0.44,0.2,0.45,0.75
6,228.4,5.25,0.0,1.36,0.87,0.75,1.25,1.8
7,60.85,1.6,0.0,0.36,0.35,0.0,0.25,0.5
8,135.65,2.75,0.0,0.81,0.61,0.4,0.75,1.2
9,499.9,8.2,0.2,2.98,1.52,2.0,2.8,3.75
10,808.4,13.5,0.25,4.81,2.83,2.75,4.25,6.75
11,128.5,2.5,0.0,0.76,0.54,0.36,0.75,1.0
12,113.95,2.5,0.0,0.68,0.55,0.25,0.5,1.0
13,272.0,4.5,0.0,1.62,1.03,0.8,1.45,2.29
14,297.2,5.5,0.0,1.77,1.06,1.0,1.55,2.5
15,271.65,4.75,0.0,1.62,1.05,0.79,1.5,2.29
16,1090.75,19.0,0.4,6.49,3.89,3.6,5.75,8.29
17,206.3,3.4,0.0,1.23,0.72,0.75,1.2,1.75
18,215.0,3.8,0.0,1.28,0.82,0.6,1.25,1.76
19,486.9,8.25,0.25,2.9,1.96,1.48,2.25,4.0
20,401.4,7.25,0.0,2.39,1.52,1.25,2.2,3.25
21,304.45,4.75,0.0,1.81,0.98,1.0,1.8,2.5
22,402.4,7.25,0.0,2.4,1.38,1.25,2.33,3.25
23,169.4,3.0,0.0,1.01,0.76,0.4,0.9,1.5
24,772.45,12.0,0.4,4.6,2.54,2.6,4.4,6.0
25,305.3,7.0,0.0,1.82,1.2,1.0,1.6,2.42
26,123.15,3.25,0.0,0.73,0.62,0.25,0.6,1.0
27,435.4,8.25,0.0,2.59,1.5,1.6,2.4,3.29
28,772.35,15.0,0.5,4.6,2.86,2.48,4.0,6.0
