taz,sum,max,min,mean,std,25p,50p,75p
1,113.35,2.25,0.0,0.67,0.52,0.25,0.6,1.0
2,239.2,5.25,0.0,1.42,1.01,0.75,1.23,2.0
3,140.6,3.5,0.0,0.84,0.69,0.25,0.75,1.25
4,643.25,12.0,0.75,3.83,2.25,2.25,3.4,4.75
5,111.2,2.75,0.0,0.66,0.53,0.25,0.6,1.0
6,250.95,7.25,0.0,1.49,1.0,0.75,1.25,2.0
7,59.55,1.8,0.0,0.35,0.34,0.0,0.25,0.5
8,139.85,3.0,0.0,0.83,0.69,0.25,0.75,1.25
9,430.95,8.25,0.2,2.57,1.5,1.5,2.4,3.29
10,561.05,8.5,0.2,3.34,1.9,2.0,3.0,4.25
11,128.7,3.0,0.0,0.77,0.62,0.25,0.6,1.0
12,103.1,3.25,0.0,0.61,0.56,0.2,0.5,1.0
13,291.0,6.0,0.0,1.73,1.32,0.79,1.32,2.5
14,254.55,4.75,0.0,1.52,1.03,0.75,1.4,2.0
15,281.7,5.5,0.0,1.68,1.17,0.75,1.4,2.25
16,1152.65,22.5,0.2,6.86,4.42,3.75,6.0,9.25
17,208.75,3.8,0.0,1.24,0.86,0.6,1.1,1.75
18,230.5,4.5,0.0,1.37,0.93,0.6,1.25,2.0
19,449.55,8.25,0.2,2.68,1.77,1.4,2.25,3.5
20,366.05,7.5,0.0,2.18,1.35,1.2,2.0,3.0
21,403.55,7.0,0.0,2.4,1.27,1.48,2.4,3.21
22,350.4,6.75,0.0,2.09,1.35,1.0,1.75,2.8
23,177.6,3.5,0.0,1.06,0.86,0.25,0.8,1.6
24,512.8,9.0,0.0,3.05,1.98,1.6,2.75,4.05
25,315.6,7.5,0.0,1.88,1.36,1.0,1.6,2.52
26,130.9,3.25,0.0,0.78,0.69,0.25,0.6,1.2
27,310.1,7.0,0.0,1.85,1.2,1.0,1.75,2.64
28,572.35,11.75,0.0,3.41,2.27,1.75,2.9,4.75
29,296.2,5.5,0.0,1.76,1.31,0.79,1.5,2.75
30,116.7,2.8,0.0,0.69,0.63,0.2,0.5,1.0
31,322.9,8.0,0.0,1.92,1.43,0.8,1.6,2.76
32,1002.3,13.0,0.6,5.97,3.22,3.24,5.6,8.43
33,227.35,4.4,0.0,1.35,0.93,0.75,1.2,1.85
34,810.55,14.5,0.2,4.82,3.15,2.4,4.1,6.75
35,305.8,7.0,0.0,1.82,1.34,0.8,1.5,2.52
36,108.35,2.8,0.0,0.64,0.63,0.2,0.5,1.0
37,432.6,9.0,0.0,2.58,1.77,1.25,2.25,3.8
38,350.55,6.0,0.0,2.09,1.24,1.2,2.0,3.0
39,326.45,6.25,0.0,1.94,1.46,1.0,1.5,2.75
40,230.8,6.0,0.0,1.37,1.13,0.5,1.0,1.85
41,243.4,5.5,0.0,1.45,1.2,0.5,1.2,2.21
42,266.2,4.0,0.0,1.58,0.99,0.79,1.4,2.4
43,688.9,10.5,0.25,4.1,2.11,2.5,4.0,5.0
44,601.3,8.75,0.0,3.58,2.01,2.0,3.45,5.0
45,654.9,10.5,0.2,3.9,2.07,2.4,3.75,5.0
46,1081.05,30.75,0.5,6.43,4.77,3.71,5.75,7.25
47,410.95,9.75,0.0,2.45,1.77,1.15,2.0,3.52
48,894.7,12.75,0.0,5.33,2.93,2.95,5.4,7.52
49,400.25,7.5,0.0,2.38,1.69,1.0,2.1,3.52
50,771.0,13.5,0.25,4.59,2.76,2.25,4.2,6.21
51,235.5,4.75,0.0,1.4,0.98,0.6,1.25,2.0
52,1012.8,16.0,0.0,6.03,3.52,3.4,5.75,8.57
53,1148.45,18.0,0.6,6.84,3.81,4.0,6.0,9.05
54,539.05,7.5,0.0,3.21,1.76,1.79,3.2,4.4
55,256.85,4.75,0.0,1.53,1.04,0.75,1.25,2.25
56,581.5,11.25,0.0,3.46,2.15,1.8,3.4,4.6
57,553.25,9.75,0.0,3.29,1.83,2.0,3.32,4.5
58,717.6,12.0,0.2,4.27,2.67,2.15,3.75,6.05
59,434.3,9.25,0.0,2.59,1.61,1.25,2.4,3.5
60,156.1,3.25,0.0,0.93,0.73,0.4,0.75,1.4
61,314.5,8.25,0.0,1.87,1.62,0.6,1.5,2.8
62,523.55,8.5,0.0,3.12,1.84,1.8,2.75,4.25
63,202.15,4.5,0.0,1.2,0.91,0.5,1.0,1.64
64,210.7,4.5,0.0,1.25,0.85,0.6,1.2,1.75
65,1171.6,40.25,0.0,6.97,7.03,2.15,5.0,8.8
66,397.2,7.0,0.0,2.36,1.53,1.24,2.2,3.29
67,183.75,4.5,0.0,1.09,0.89,0.48,1.0,1.52
68,159.75,3.6,0.0,0.95,0.84,0.25,0.75,1.4
69,506.45,7.5,0.2,3.01,1.74,1.71,2.9,4.21
70,246.45,5.5,0.0,1.47,1.17,0.6,1.2,2.0
71,481.0,10.5,0.0,2.86,2.03,1.25,2.33,4.0
72,537.05,10.5,0.0,3.2,2.15,1.5,2.8,4.43
73,454.1,7.25,0.0,2.7,1.78,1.4,2.5,3.6
74,245.9,5.75,0.0,1.46,1.16,0.6,1.25,2.0
75,332.8,7.75,0.0,1.98,1.5,0.75,1.75,3.0
76,246.55,5.0,0.0,1.47,1.13,0.5,1.25,2.25
77,737.8,9.25,0.25,4.39,2.11,3.0,4.2,5.85
78,1024.35,16.25,0.2,6.1,3.74,3.24,5.6,8.85
79,1218.7,14.25,0.75,7.25,3.27,5.15,7.75,9.5
80,738.15,11.0,0.0,4.39,2.51,2.75,4.25,6.4
81,231.7,4.0,0.0,1.38,0.94,0.6,1.25,2.0
82,279.75,5.4,0.0,1.67,1.25,0.6,1.4,2.5
83,579.05,8.75,0.0,3.45,2.27,1.36,3.4,5.31
84,211.45,4.0,0.0,1.26,0.9,0.5,1.2,1.8
85,312.45,15.0,0.0,1.86,2.06,0.8,1.4,2.0
86,452.1,8.0,0.0,2.69,1.52,1.75,2.68,3.6
87,633.25,10.25,0.2,3.77,2.35,2.0,3.4,5.25
88,956.85,16.25,0.0,5.7,3.89,2.71,5.0,8.75
89,412.8,7.0,0.2,2.46,1.54,1.2,2.1,3.5
90,543.5,9.6,0.0,3.24,2.36,1.4,2.55,4.75
91,206.35,6.25,0.0,1.23,1.06,0.4,1.0,1.8
92,848.25,11.75,0.4,5.05,2.53,3.25,4.9,6.8
93,139.05,3.75,0.0,0.83,0.74,0.25,0.6,1.29
94,329.4,7.5,0.0,1.96,1.56,0.75,1.5,3.0
95,412.3,8.75,0.0,2.45,2.03,0.95,2.0,3.5
96,447.35,12.0,0.0,2.66,2.54,0.8,1.75,4.05
97,313.85,7.25,0.0,1.87,1.44,0.75,1.6,2.75
98,473.25,9.25,0.0,2.82,2.06,1.2,2.4,4.2
99,393.5,8.0,0.0,2.34,1.52,1.25,2.0,3.21
100,299.15,7.0,0.0,1.78,1.45,0.6,1.4,2.75
101,803.6,14.25,0.0,4.78,3.33,2.0,4.25,7.25
102,680.9,11.75,0.2,4.05,2.69,1.8,3.5,6.0
103,304.4,8.25,0.0,1.81,1.51,0.6,1.5,2.52
104,785.2,11.25,0.2,4.67,2.84,2.58,4.25,6.75
105,282.95,7.5,0.0,1.68,1.4,0.75,1.4,2.42
106,231.15,4.75,0.0,1.38,1.0,0.5,1.2,2.0
107,829.9,15.25,0.0,4.94,3.47,2.36,4.2,7.25
108,1776.05,30.25,0.5,10.57,7.03,5.24,9.12,13.34
109,917.2,28.5,0.0,5.46,4.62,1.8,5.0,7.4
110,249.5,7.0,0.0,1.49,1.3,0.5,1.25,2.0
111,343.9,8.0,0.0,2.05,1.55,1.0,1.8,3.0
112,428.45,7.75,0.0,2.55,1.67,1.25,2.25,3.52
113,719.65,15.0,0.0,4.28,3.23,1.58,4.0,6.0
114,310.85,6.75,0.0,1.85,1.73,0.5,1.25,2.75
115,709.75,12.0,0.2,4.22,2.56,2.58,3.8,5.5
116,332.45,8.5,0.0,1.98,1.98,0.4,1.23,3.21
117,625.75,12.25,0.0,3.72,2.34,2.0,3.5,5.05
118,147.35,8.25,0.0,0.88,1.06,0.25,0.6,1.05
119,1137.8,21.25,0.2,6.77,4.94,2.75,5.75,10.21
120,614.0,10.5,0.0,3.65,2.54,1.58,3.25,5.52
121,268.55,5.0,0.0,1.6,1.04,0.95,1.5,2.05
122,409.65,7.25,0.0,2.44,1.59,1.24,2.25,3.25
123,764.45,11.5,0.0,4.55,2.84,2.24,4.25,6.75
